数据库：分省年度数据
指标：人口出生率(‰)
时间：最近10年
地区,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年
北京市,7.96,9.75,8.93,9.05,8.29,7.48,8.06,8.17,8.32,6.26
天津市,5.84,8.19,8.28,8.75,8.58,8.18,8.30,8.13,7.91,7.67
河北省,11.35,13.18,13.04,12.88,13.02,13.22,12.93,13.04,13.33,12.82
山西省,9.98,10.92,10.81,10.70,10.47,10.68,10.87,11.32,11.30,11.48
内蒙古自治区,7.72,9.31,8.98,9.17,8.94,9.30,9.57,9.81,10.21,9.87
辽宁省,6.17,6.49,6.09,6.15,5.71,6.68,6.06,6.32,6.89,6.40
吉林省,5.87,6.62,5.36,5.73,6.53,7.91,6.69,6.65,7.55,7.67
黑龙江省,6.00,7.37,6.86,7.30,6.99,7.35,7.48,7.91,7.88,7.57
上海市,7.52,8.35,8.18,9.56,6.97,7.05,8.64,8.89,9.07,7.47
江苏省,9.05,9.45,9.44,9.44,9.59,9.73,9.55,9.34,9.37,9.36
浙江省,10.52,10.51,10.01,10.12,9.47,10.27,10.22,10.20,10.38,10.29
安徽省,12.92,12.86,12.88,13.00,12.23,12.70,13.07,13.05,12.75,12.60
福建省,13.90,13.70,12.20,12.74,11.41,11.27,12.20,12.20,11.90,12.00
江西省,13.20,13.24,13.19,13.46,13.48,13.72,13.87,13.92,13.86,13.80
山东省,12.55,14.23,11.41,11.90,11.50,11.65,11.70,11.25,11.11,11.60
河南省,12.70,12.80,12.27,11.87,11.56,11.52,11.45,11.42,11.26,11.59
湖北省,10.74,11.86,11.08,11.00,10.39,10.36,9.48,9.21,9.19,9.08
湖南省,13.58,13.52,13.50,13.58,13.35,13.10,13.05,12.68,11.96,11.92
广东省,11.12,10.80,10.71,11.60,10.45,11.18,11.78,11.80,11.96,11.78
广西壮族自治区,14.05,14.07,14.28,14.20,13.71,14.13,14.17,14.40,14.19,14.44
海南省,14.57,14.56,14.59,14.66,14.72,14.71,14.66,14.71,14.62,14.59
重庆市,11.05,10.67,10.37,10.86,9.88,9.17,9.90,10.10,10.10,9.90
四川省,10.30,10.22,9.90,9.89,9.79,8.93,9.15,9.54,9.21,9.14
贵州省,13.00,12.98,13.05,13.27,13.31,13.96,13.65,13.49,13.28,13.97
云南省,12.88,12.65,12.60,12.63,12.71,13.10,12.53,12.63,13.08,13.20
西藏自治区,15.75,15.76,15.77,15.48,15.39,15.80,15.31,15.50,16.40,17.40
陕西省,10.10,10.13,10.01,10.12,9.75,9.73,10.24,10.29,10.21,10.19
甘肃省,12.36,12.21,12.16,12.11,12.08,12.05,13.32,13.22,13.14,12.86
青海省,14.72,14.67,14.16,14.30,14.43,14.94,14.51,14.49,14.93,15.24
宁夏回族自治区,12.62,13.10,13.12,13.26,13.65,14.14,14.38,14.31,14.80,15.53
新疆维吾尔自治区,15.59,16.44,15.84,15.32,14.99,15.99,15.99,16.05,16.79,15.79
数据来源：国家统计局
