数据库：分省年度数据
指标：医疗卫生机构数(个)
时间：最近10年
地区,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年
北京市,9771,9638,9683,9632,9495,9411,9734,6497,6210,4877
天津市,5223,4990,4689,4551,4428,4542,4238,2784,2334,2367
河北省,78594,78895,78485,79119,80185,81403,80963,15632,19425,17733
山西省,41002,40777,40281,40192,40339,41098,39917,9431,9780,9776
内蒙古自治区,23886,23426,23257,23046,22908,22565,22677,7162,9076,7958
辽宁省,35236,35441,35612,35792,35229,34805,34729,14627,14819,15876
吉林省,20612,19891,19913,19734,19785,19385,18543,9659,9683,9696
黑龙江省,20752,21229,21369,21158,21749,22073,21825,7928,8464,8181
上海市,5016,4984,4929,4845,4740,4708,4460,2822,2678,2519
江苏省,31925,31995,30998,31050,31680,30956,30571,13357,19116,17143
浙江省,31137,30358,30063,30271,30515,29939,29549,15290,15669,14230
安徽省,24853,24824,24645,23275,22884,22997,24799,7837,8502,9288
福建省,27921,28030,28175,27276,27147,27017,26613,4478,4556,9652
江西省,38557,38873,38902,39509,39154,34068,34005,8229,9456,10210
山东省,77259,77012,75426,68840,68275,66967,63885,14973,15270,17016
河南省,71394,71154,71464,69258,76128,75741,75722,11683,11888,14629
湖北省,36179,36077,35631,35240,35625,34269,32790,10305,11093,10052
湖南省,62646,61571,62210,58612,59634,59359,55200,14455,14521,15331
广东省,48320,48085,47835,46534,45930,44880,44314,15819,16488,16953
广西壮族自治区,34439,34667,33943,34152,34026,32741,32355,10427,10060,9977
海南省,5046,5075,5011,5154,4816,4678,4661,2220,2330,2337
重庆市,19806,18767,18926,17961,17650,17495,16497,6265,6293,6613
四川省,80109,81070,80037,76557,75815,74283,72914,20738,21380,24015
贵州省,28712,28995,29177,27404,25943,25420,24707,5848,5956,6147
云南省,24181,24281,24264,23395,23248,22888,22365,9249,9693,10020
西藏自治区,6814,6795,6725,6660,6602,4960,4959,1326,1322,1349
陕西省,37030,37247,37137,36271,36396,35696,33928,8812,9708,11631
甘肃省,27799,27916,26697,26401,26632,26673,25299,10534,12024,12022
青海省,6223,6241,6020,5948,5887,5781,5959,1582,1619,1643
宁夏回族自治区,4288,4255,4231,4140,4132,4129,4149,1629,1530,1553
新疆维吾尔自治区,18798,18873,18663,18320,17412,16000,14244,6739,7465,8175
数据来源：国家统计局
